index,enemyId,number,tier,isEnable
0,UN_SLIME,2,0,True
0,UN_SLIME,2,1,True
0,UN_SKELETON,1,0,True
1,UN_SLIME,2,0,True
1,UN_SLIME,1,1,True
1,UN_SKELETON,1,0,True
1,UN_SKELETON,1,1,True
1,UN_BAT,1,0,True
2,UN_SLIME,1,0,True
2,UN_SKELETON,1,0,True
2,UN_BAT,1,0,True
2,UN_SLIME,1,1,True
2,UN_SKELETON,1,1,True
2,UN_BAT,1,1,True
3,UN_SKELETON,3,1,True
3,UN_BAT,2,1,True
3,UN_SLIME,1,1,True
4,UN_SKELETON,3,0,True
4,UN_SLIME,2,1,True
4,UN_BAT,2,1,True
5,UN_SKELETON,2,0,True
5,UN_SKELETON_ARCHER,2,0,True
5,UN_SLIME,1,0,True
5,UN_SKELETON,1,1,True
5,UN_SKELETON_ARCHER,1,1,True
5,UN_SLIME,1,1,True
6,UN_ORC,2,0,True
6,UN_SKELETON,2,0,True
6,UN_SKELETON_ARCHER,1,0,True
6,UN_ORC,1,1,True
6,UN_SKELETON,1,1,True
6,UN_SKELETON_ARCHER,1,1,True
7,UN_WEREWOLF,2,0,True
7,UN_ORC,2,0,True
7,UN_SKELETON_ARCHER,2,0,True
7,UN_WEREWOLF,1,1,True
7,UN_ORC,1,1,True
7,UN_SKELETON_ARCHER,1,1,True
8,UN_ORC,2,0,True
8,UN_WEREWOLF,2,0,True
8,UN_SKELETON_ARCHER,2,0,True
8,UN_SKELETON,1,0,True
8,UN_WEREWOLF,1,1,True
8,UN_SKELETON_ARCHER,1,1,True
8,UN_SKELETON,1,1,True
9,UN_ORC,2,0,True
9,UN_WEREWOLF,2,0,True
9,UN_NECROMANCER,1,0,True
10,UN_ARMORED_SKELETON,1,0,True
10,UN_ORC,1,0,True
10,UN_SKELETON_ARCHER,1,0,True
10,UN_SKELETON,1,0,True
10,UN_ARMORED_SKELETON,2,1,True
10,UN_ORC,2,1,True
10,UN_SKELETON_ARCHER,1,1,True
10,UN_SKELETON,1,1,True
11,UN_GREATSWORD_SKELETON,1,0,True
11,UN_ARMORED_SKELETON,1,0,True
11,UN_WEREWOLF,1,0,True
11,UN_GREATSWORD_SKELETON,2,1,True
11,UN_ARMORED_SKELETON,2,1,True
